,user_id,first_order_time,first_order_price,age_month,city_num,platform_num,model_num,app_num,login_day,login_diff_time,distance_day,login_time,launch_time,chinese_subscribe_num,math_subscribe_num,add_friend,add_group,camp_num,learn_num,finish_num,study_num,coupon,course_order_num,main_home,main_home2,mainpage,schoolreportpage,main_mime,lightcoursetab,main_learnpark,partnergamebarrierspage,evaulationcenter,coupon_visit,click_buy,progress_bar,ppt,task,video_play,video_read,next_nize,answer_task,chapter_module,course_tab,slide_subscribe,baby_info,click_notunlocked,share,click_dialog,result
77,2000001602447899,2019/1/7 8:18,0.0,64,福州,13.557,8.1782,1,5,1.4,13,29,0,1,1,1,1,1,3,3,1,2,1,31,19,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,12,0,0,2,0,0,1,1
78,2000001603351511,2018/12/11 21:22,0.0,97,阳江,9.2969,6.1002,1,13,15.85,49,12,6,1,0,1,1,1,3,3,1,2,3,55,113,9,6,1,1,0,0,4,3,0,119,0,0,0,0,0,1,15,6,12,2,5,10,1,1
79,2000001606049014,2019/2/16 21:16,9.0,101,呼和浩特,13.557,8.1481,1,3,2.0,60,31,1,1,0,1,1,1,2,2,0,2,0,32,13,0,0,0,0,0,0,0,0,0,0,19,15,25,24,22,0,0,0,0,3,0,3,1,1
80,2000001606052158,2019/1/28 16:51,0.0,55,唐山,13.557,12.0343,1,6,0.83,66,7,0,1,0,1,1,1,5,5,0,0,0,80,32,5,5,1,3,3,0,0,0,0,0,45,28,30,59,38,8,0,3,0,3,0,11,1,1
82,2000001606351041,2019/1/19 13:19,0.0,78,晋城,13.557,13.5328,1,9,3.67,42,24,6,1,0,1,1,2,1,1,1,1,1,43,50,6,0,0,0,0,0,0,0,0,0,17,17,19,13,18,0,3,13,3,3,1,1,1,1
83,2000001606753490,2019/2/1 22:24,0.0,64,深圳,9.2969,9.9099,1,3,0.67,96,194,0,0,0,1,1,1,2,3,0,1,0,58,31,5,2,0,0,2,0,0,0,0,0,25,21,17,29,21,9,10,4,5,5,4,2,1,1
84,2000001608456977,2018/11/20 23:15,0.0,45,北京,9.2969,23.0769,1,8,5.75,22,24,2,1,1,1,1,1,3,2,1,4,1,98,59,10,11,1,2,4,2,5,0,0,89,26,20,26,44,22,9,23,5,16,2,0,2,3,1
85,2000001613157348,2019/4/13 8:28,1.0,56,揭阳,9.2969,7.7735,1,5,0.8,24,206,1,1,0,1,1,1,6,7,0,1,0,101,91,10,12,0,0,0,0,1,0,0,0,48,28,153,64,22,24,23,7,3,0,1,19,0,1
86,2000001619045709,2018/12/22 9:41,1.0,78,北京,9.2969,12.0752,1,7,0.86,25,53,2,1,1,1,1,1,9,9,1,5,0,117,76,8,13,0,1,1,0,3,9,0,0,43,30,15,28,35,35,32,46,8,5,12,21,1,1
87,2000001620045943,2018/11/25 16:52,0.0,48,洛阳,13.557,21.6821,1,7,0.86,42,30,0,1,0,1,1,1,5,5,0,0,0,68,36,2,1,3,1,1,0,4,0,0,0,39,30,30,37,44,9,0,1,0,5,0,8,1,1
88,2000001620352236,2018/12/17 21:06,0.0,79,贵阳,9.2969,13.3198,1,7,58.86,47,5,1,1,0,1,1,2,5,4,0,2,0,89,77,3,9,2,2,0,0,0,0,0,22,25,19,11,59,21,9,13,24,4,5,0,7,1,1
91,2000001627645663,2018/12/28 20:30,1.0,55,成都,13.557,12.2061,1,9,46.56,35,262,0,1,1,1,1,0,9,10,1,2,0,117,121,17,7,0,1,1,0,10,1,0,38,58,42,72,55,65,31,143,127,23,4,11,34,1,1
93,2000001631983694,2019/2/16 21:08,0.0,79,桂林,9.2969,9.7056,1,11,1.55,24,49,8,1,1,1,1,5,11,11,1,0,0,229,280,22,10,2,2,7,0,12,0,0,0,33,39,40,64,58,21,43,124,7,6,7,11,1,1
94,2000001635550084,2019/3/30 13:46,0.0,79,成都,9.2969,8.4337,1,4,0.75,22,30,0,0,0,1,1,1,3,3,0,1,0,68,26,6,8,0,0,0,0,0,0,0,0,40,30,38,62,28,14,6,0,5,5,1,13,1,1
95,2000001635984594,2018/12/13 20:27,0.0,73,盐城,13.557,8.1782,1,4,0.75,22,71,3,1,1,1,1,3,4,4,1,1,1,123,158,23,8,1,7,7,0,25,0,0,0,30,26,54,41,36,0,8,41,3,4,1,10,1,1
96,2000001638450950,2019/3/15 22:44,0.0,62,榆林,9.2969,12.4578,1,2,1.5,85,38,0,1,0,1,1,2,2,0,1,1,0,44,24,1,0,0,1,0,0,0,0,0,0,27,18,8,12,0,26,3,4,3,9,1,2,1,1
98,2000001639480120,2019/3/23 13:15,1.0,72,北京,13.557,10.3925,1,7,0.86,15,130,4,1,1,1,1,1,10,10,1,2,0,127,215,0,14,5,0,7,3,4,0,0,0,51,40,56,52,56,6,60,72,21,3,8,21,1,1
99,2000001639504373,2018/11/22 19:35,9.0,61,北京,9.2969,9.4547,1,5,71.2,21,13,1,0,0,1,1,1,2,2,0,3,0,71,54,19,9,4,2,1,0,2,1,0,0,25,19,15,39,21,9,2,10,9,5,1,7,2,1
100,2000001639532170,2019/2/23 8:18,1.0,63,乌鲁木齐,9.2969,3.3333,1,5,15.2,21,42,1,1,0,1,1,3,7,8,0,2,1,108,73,16,12,1,0,0,0,0,0,0,0,34,28,19,49,28,45,29,49,4,5,4,14,1,1
101,2000001640956485,2018/12/17 17:02,0.0,70,重庆,13.557,13.5328,1,5,1.2,13,44,2,1,1,1,1,2,2,2,1,1,10,68,52,14,12,0,10,0,0,1,4,0,0,25,21,24,52,27,3,8,11,7,3,4,12,1,1
102,2000001643282232,2019/3/3 9:34,0.0,109,深圳,13.557,8.1782,1,2,1.5,77,144,1,1,0,1,1,0,3,1,1,1,3,50,67,5,1,2,0,1,3,0,0,0,1,8,9,29,12,63,0,16,31,4,3,2,3,1,1
103,2000001650457018,2019/4/6 17:43,0.0,75,宁波,13.557,8.1782,1,5,0.8,31,49,1,0,1,1,1,3,8,9,1,2,5,0,19,0,12,2,0,8,0,12,0,0,0,25,21,17,33,28,7,32,39,0,0,2,11,0,1
104,2000001652367003,2019/2/18 9:46,9.0,68,长沙,9.2969,7.0588,1,5,1.0,28,29,3,0,1,1,1,2,8,8,1,1,0,144,111,10,13,3,5,8,0,6,0,0,0,76,60,66,114,93,33,16,33,3,9,7,10,1,1
105,2000001652389754,2018/11/19 16:47,1.0,55,佛山,9.2969,12.4578,1,5,66.6,45,15,2,1,0,1,1,3,8,2,0,0,0,61,58,15,7,0,1,0,0,0,0,0,274,13,13,24,18,29,14,18,30,12,8,5,6,1,1
109,2000001652856872,2019/4/26 7:09,9.0,33,大连,9.2969,14.0,1,3,0.67,23,14,0,1,0,1,1,1,2,2,0,0,0,35,28,1,6,0,0,0,0,0,0,0,0,0,13,36,24,43,1,1,0,0,0,0,8,0,1
110,2000001652865227,2018/12/5 7:36,0.0,61,西安,9.2969,13.3198,1,4,1.0,19,25,1,1,0,1,1,1,2,2,0,0,0,60,39,3,3,0,1,0,0,0,0,0,0,25,18,16,36,21,14,3,1,5,5,4,4,1,1
111,2000001652873105,2019/4/14 0:53,1.0,54,莆田,9.2969,9.7331,1,3,0.67,15,67,0,1,1,1,1,0,3,2,0,1,2,68,28,0,2,0,0,0,0,0,0,0,0,35,27,12,19,21,26,2,14,0,0,0,5,0,1
112,2000001652879141,2018/11/17 9:57,0.0,99,汕头,13.557,21.8472,1,3,1.33,50,7,0,1,0,1,1,1,3,3,0,2,0,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,3,1,13,1,1
113,2000001652879189,2019/1/16 22:04,9.0,45,北京,13.557,8.1782,1,5,1.4,103,29,2,1,1,1,1,3,2,2,0,4,0,65,50,7,0,0,0,0,0,0,3,0,0,13,18,56,22,44,0,4,5,2,3,0,5,2,1
115,2000001652880153,2018/11/27 20:14,0.0,79,郑州,9.2969,9.2147,1,6,1.17,24,13,0,1,0,1,1,1,4,4,0,1,0,46,36,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,13,1,5,5,1,0,1,1
117,2000001653249993,2018/12/7 10:23,0.0,105,吉安,9.2969,4.9689,1,6,57.83,11,250,1,1,0,1,1,1,4,4,1,2,1,55,67,4,10,1,1,0,0,0,0,0,66,0,0,0,0,0,7,22,4,4,5,0,19,1,1
118,2000001654568233,2018/12/10 19:57,0.0,79,衡水,9.2969,6.2396,1,8,41.63,22,1,3,1,0,1,1,0,0,0,0,0,0,2,4,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
119,2000001656555213,2019/1/7 9:26,9.0,79,济南,13.557,12.0343,1,4,1.5,20,152,1,1,1,1,1,2,2,2,1,1,0,89,71,2,5,0,0,0,0,0,1,0,1,28,22,44,39,28,2,4,17,1,3,1,9,1,1
121,2000001658977364,2019/1/14 10:13,0.0,59,宁波,9.2969,8.8253,1,7,53.57,14,36,2,1,0,1,1,2,5,2,1,2,4,158,177,4,6,0,0,2,0,0,7,0,4,34,21,53,23,21,12,19,107,3,5,0,8,1,1
123,2000001664676696,2018/12/10 18:16,0.0,54,成都,13.557,10.468,1,5,1.2,2,21,0,0,0,1,1,1,3,3,0,1,0,51,18,0,4,0,0,0,0,0,0,0,0,36,30,40,48,42,0,0,0,0,4,0,9,1,1
124,2000001665447276,2019/1/14 13:48,0.0,62,临汾,13.557,8.1481,1,7,50.0,25,104,1,0,0,1,1,1,3,3,1,1,0,59,56,22,6,2,5,8,0,0,0,0,0,25,22,37,42,29,0,36,10,2,4,4,8,2,1
125,2000001665497817,2018/12/27 14:39,0.0,46,泉州,9.2969,16.4398,1,5,66.0,90,15,1,0,0,1,1,1,5,5,0,2,0,76,37,4,4,0,0,0,0,1,3,0,0,34,24,33,41,28,21,7,0,6,5,2,8,1,1
126,2000001666547031,2018/11/27 13:59,1.0,78,北京,9.2969,9.2799,1,3,85.33,24,128,1,1,0,1,1,0,1,2,0,1,1,72,97,4,12,1,0,1,0,3,0,0,0,17,12,13,19,14,6,3,47,5,5,2,7,3,1
127,2000001668778305,2019/1/5 9:14,9.0,84,深圳,13.557,8.1782,1,5,5.0,122,5,1,0,0,1,1,1,0,0,0,0,0,17,25,4,0,0,1,1,0,0,2,0,0,9,7,7,15,9,0,1,2,2,3,0,1,1,1
128,2000001669243040,2019/2/13 12:00,9.0,67,天门,9.2969,15.748,1,9,41.11,16,44,0,1,0,1,1,3,9,9,1,1,1,172,122,35,12,3,8,5,6,10,0,0,0,85,43,35,97,49,50,66,56,12,5,13,24,1,1
130,2000001669765075,2018/11/22 21:29,9.0,67,巴中,9.2969,6.3462,1,5,0.8,24,159,0,0,0,1,1,1,4,3,0,1,1,100,46,1,4,0,0,0,0,0,0,0,0,147,40,45,42,33,18,0,1,7,5,0,4,1,1
132,2000001672448569,2019/1/30 12:45,0.0,4,广州,9.2969,14.1813,1,6,1.0,37,51,2,1,0,1,1,3,9,7,1,4,1,150,167,16,4,1,12,6,0,13,8,0,201,36,30,20,43,32,52,39,66,7,9,4,3,1,1
133,2000001672840196,2018/12/3 18:39,0.0,64,太原,13.557,14.3881,1,3,26.0,166,2,2,0,1,1,1,1,0,0,1,2,0,10,20,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,4,2,4,0,0,2,1
134,2000001672864737,2019/2/16 6:24,0.0,70,日照,9.2969,8.3678,1,11,33.0,37,44,2,0,1,1,1,1,5,5,1,2,3,60,70,5,0,0,5,0,0,0,0,0,10,0,0,0,1,0,9,19,4,0,5,1,0,1,1
135,2000001676435137,2019/1/22 15:38,0.0,53,石家庄,13.557,12.0343,1,5,1.0,21,113,1,1,1,1,1,2,6,6,1,0,0,135,119,5,6,1,0,0,0,1,0,0,17,70,40,105,47,52,0,22,28,6,4,0,19,5,1
136,2000001676577826,2019/1/30 5:39,9.0,80,沈阳,13.557,13.5328,1,8,0.88,11,122,2,0,0,1,1,1,10,9,1,1,0,133,90,2,4,0,0,0,0,4,0,0,228,34,29,19,29,28,24,38,17,1,5,0,10,1,1
137,2000001677348415,2018/11/30 15:37,0.0,69,深圳,13.557,24.0354,1,14,19.93,18,13,7,1,1,1,1,2,0,0,1,4,1,67,88,8,4,2,0,0,0,5,0,0,0,9,6,5,7,7,3,5,2,4,3,0,11,3,1
138,2000001678065851,2018/11/28 22:20,0.0,62,盐城,9.2969,16.4398,1,7,14.0,25,8,2,0,0,1,1,1,4,3,0,3,6,59,29,0,2,0,0,0,0,0,2,0,0,26,17,22,32,22,15,0,0,4,5,0,9,3,1
139,2000001679191233,2019/1/19 19:50,0.0,86,台州,9.2969,8.4537,1,9,36.0,15,189,1,1,0,1,1,3,8,6,0,1,0,166,145,24,0,0,10,2,0,0,0,0,0,43,34,19,53,35,23,32,126,11,5,8,1,2,1
140,2000001680309012,2019/1/30 19:18,0.0,62,泰安,13.557,12.2015,1,5,0.8,21,46,2,1,1,1,1,2,5,5,0,1,0,113,113,2,8,1,0,2,0,0,0,0,0,30,22,69,38,29,1,7,54,2,3,0,20,1,1
141,2000001685347866,2019/3/22 20:47,1.0,42,深圳,13.557,12.2015,1,3,1.0,15,8,1,1,0,1,1,2,1,0,0,0,2,22,51,0,0,1,0,1,6,0,0,0,0,4,1,1,0,5,0,11,4,2,0,4,0,0,1
142,2000001685761034,2019/3/3 11:33,0.0,81,九江,9.2969,13.3198,1,6,26.5,46,27,2,1,1,1,1,1,4,3,0,1,0,48,48,9,0,1,2,1,8,0,0,0,0,16,10,5,7,7,6,16,8,8,7,3,2,2,1
143,2000001687573270,2018/11/16 14:50,0.0,70,广州,9.2969,7.4033,1,4,62.0,24,27,0,1,0,1,1,2,2,2,1,1,0,65,44,2,8,1,2,3,0,10,0,0,31,19,14,30,24,14,18,8,16,3,5,3,4,2,1
144,2000001687845216,2019/1/10 17:21,0.0,60,长沙,9.2969,6.3462,1,22,13.73,16,11,0,1,1,1,1,1,1,1,1,5,0,62,53,2,0,0,0,0,0,0,0,1,0,19,12,6,15,16,6,14,7,3,1,0,0,1,1
147,2000001689584404,2018/11/27 20:45,0.0,71,广州,13.557,22.164,1,8,32.13,17,62,3,1,1,1,1,3,7,7,1,3,1,69,48,22,6,0,1,0,0,0,0,0,0,29,38,197,62,74,1,27,35,9,30,3,4,2,1
148,2000001691503777,2019/3/18 16:13,9.0,47,镇江,13.557,18.1818,1,3,1.0,50,13,0,0,0,1,1,3,2,2,0,1,1,23,9,2,0,0,0,0,0,0,0,0,0,18,14,13,12,18,0,3,4,3,0,0,1,0,1
149,2000001695826518,2019/3/3 20:18,0.0,27,益阳,9.2969,8.5873,1,4,0.75,18,20,0,1,1,1,1,1,3,2,1,0,0,56,51,8,6,0,0,0,0,0,0,0,0,0,17,59,39,62,17,16,3,7,4,0,8,1,1
152,2000001699890726,2018/11/17 7:09,0.0,81,青岛,9.2969,12.4578,1,6,39.67,16,25,0,1,0,1,1,1,4,4,0,1,0,38,53,6,6,0,0,0,0,2,0,0,2,0,0,0,3,0,0,4,10,6,5,3,15,2,1
153,2000001700354210,2019/4/1 22:28,0.0,61,重庆,9.2969,7.6326,1,4,0.75,22,32,0,0,0,1,1,2,2,2,0,2,1,62,17,5,6,0,0,0,0,0,0,0,0,25,23,36,44,22,14,5,10,5,5,0,10,1,1
154,2000001701126042,2018/11/20 15:08,9.0,80,嘉兴,13.557,16.3724,1,4,1.25,38,14,1,0,1,1,1,1,3,3,1,1,0,61,55,6,2,0,1,1,0,4,0,0,0,29,21,25,30,29,4,0,4,1,3,0,3,1,1
155,2000001704222615,2018/12/2 1:18,9.0,83,商丘,13.557,13.6257,1,4,0.75,19,145,2,1,0,1,1,0,3,2,0,1,0,180,244,44,13,13,13,4,4,12,5,0,18,21,13,8,16,14,10,6,123,6,3,4,4,4,1
