,user_id,age_month,learn_num,finish_num,ppt,task,share,result
4539,2000002926414349,64,3,3,33,32,17,1
4540,2000002926426175,24,3,0,25,14,0,1
4541,2000002926499033,41,8,7,65,53,10,1
4542,2000002926504950,42,5,2,92,53,3,1
4543,2000002926505937,78,3,3,11,7,2,1
4544,2000002926511752,87,3,3,0,0,0,1
4545,2000002926515067,40,11,3,8,16,0,1
4549,2000002927795364,78,7,7,188,48,16,1
4550,2000002927795526,4,17,17,67,92,16,1
4551,2000002928201595,94,11,10,0,0,3,1
4553,2000002928206066,70,3,3,42,43,6,1
4555,2000002928235040,54,6,5,28,24,2,1
4556,2000002928235080,86,5,5,0,0,0,1
4557,2000002928236203,79,3,3,26,24,8,1
4558,2000002928239048,69,12,11,61,52,19,1
4560,2000002928247019,41,5,4,0,24,9,1
4563,2000002928276683,79,2,3,38,28,5,1
4564,2000002928282750,87,6,5,0,0,12,1
4567,2000002928306796,85,3,3,0,0,4,1
4568,2000002928319002,45,13,5,306,99,14,1
4569,2000002928319993,70,4,3,34,28,10,1
4570,2000002928332231,88,4,4,0,0,8,1
4572,2000002928336740,78,4,4,63,51,4,1
4573,2000002928337389,85,7,7,17,15,14,1
4574,2000002928345334,111,8,8,0,0,10,1
4575,2000002928346287,43,2,0,0,2,0,1
4576,2000002928355041,54,0,0,0,0,0,1
4578,2000002928374614,0,5,4,0,0,8,1
4579,2000002928384475,83,5,5,0,0,10,1
4581,2000002928387872,73,0,0,0,0,0,1
4582,2000002928390203,77,11,11,32,22,10,1
4584,2000002931406208,95,13,13,46,39,6,1
4585,2000002931413106,83,4,4,0,0,4,1
4588,2000002931468144,40,2,1,0,9,5,1
4590,2000002931495672,80,4,4,25,23,11,1
4591,2000002931501426,41,4,2,51,49,1,1
4592,2000002931512391,47,2,3,34,30,10,1
4593,2000002931513421,86,2,0,0,0,0,1
4594,2000002931525391,42,3,3,18,50,14,1
4596,2000002931529877,85,6,5,0,0,2,1
4601,2000002931548845,84,10,10,52,31,12,1
4603,2000002931555797,57,4,3,55,35,5,1
4604,2000002931571426,49,4,4,19,15,0,1
4605,2000002931584375,63,6,6,74,58,8,1
4606,2000002932936784,79,5,3,12,7,5,1
4607,2000002934525363,46,5,5,99,43,6,1
4608,2000002935211371,53,2,2,27,23,8,1
4615,2000002937095555,61,2,2,34,31,10,1
4616,2000002937995625,58,3,3,25,23,6,1
4617,2000002937995746,51,5,4,42,26,5,1
4618,2000002937996567,90,3,6,17,16,5,1
4622,2000002938034261,60,6,6,30,23,7,1
4623,2000002938099434,0,3,3,34,31,21,1
4626,2000002938518014,66,3,3,47,33,8,1
4628,2000002939203725,75,5,5,61,41,22,1
4630,2000002939313365,24,4,4,0,18,10,1
4632,2000002939327614,58,2,2,26,20,7,1
4634,2000002940317890,77,3,4,27,29,1,1
4635,2000002941209916,93,7,5,0,0,1,1
4636,2000002941212854,77,2,3,24,20,6,1
4638,2000002943810189,38,2,3,16,16,5,1
