,user_id,age_month,learn_num,finish_num,ppt,task,share,result
70,2000001595690853,52,2,2,25,23,4,1
72,2000001599548994,74,5,6,38,39,10,1
73,2000001600455903,58,3,3,42,28,3,1
75,2000001601645392,54,8,10,30,19,2,1
77,2000001602447899,64,3,3,0,0,0,1
78,2000001603351511,97,3,3,0,0,10,1
79,2000001606049014,101,2,2,19,15,3,1
80,2000001606052158,55,5,5,45,28,11,1
82,2000001606351041,78,1,1,17,17,1,1
83,2000001606753490,64,2,3,25,21,2,1
84,2000001608456977,45,3,2,26,20,2,1
85,2000001613157348,56,6,7,48,28,19,1
86,2000001619045709,78,9,9,43,30,21,1
87,2000001620045943,48,5,5,39,30,8,1
88,2000001620352236,79,5,4,25,19,7,1
91,2000001627645663,55,9,10,58,42,34,1
93,2000001631983694,79,11,11,33,39,11,1
94,2000001635550084,79,3,3,40,30,13,1
95,2000001635984594,73,4,4,30,26,10,1
96,2000001638450950,62,2,0,27,18,2,1
98,2000001639480120,72,10,10,51,40,21,1
99,2000001639504373,61,2,2,25,19,7,1
100,2000001639532170,63,7,8,34,28,14,1
101,2000001640956485,70,2,2,25,21,12,1
102,2000001643282232,109,3,1,8,9,3,1
103,2000001650457018,75,8,9,25,21,11,1
104,2000001652367003,68,8,8,76,60,10,1
105,2000001652389754,55,8,2,13,13,6,1
109,2000001652856872,33,2,2,0,13,8,1
110,2000001652865227,61,2,2,25,18,4,1
111,2000001652873105,54,3,2,35,27,5,1
112,2000001652879141,99,3,3,0,0,13,1
113,2000001652879189,45,2,2,13,18,5,1
115,2000001652880153,79,4,4,0,0,0,1
117,2000001653249993,105,4,4,0,0,19,1
118,2000001654568233,79,0,0,0,0,0,1
119,2000001656555213,79,2,2,28,22,9,1
121,2000001658977364,59,5,2,34,21,8,1
123,2000001664676696,54,3,3,36,30,9,1
124,2000001665447276,62,3,3,25,22,8,1
125,2000001665497817,46,5,5,34,24,8,1
126,2000001666547031,78,1,2,17,12,7,1
127,2000001668778305,84,0,0,9,7,1,1
128,2000001669243040,67,9,9,85,43,24,1
130,2000001669765075,67,4,3,147,40,4,1
132,2000001672448569,4,9,7,36,30,3,1
133,2000001672840196,64,0,0,0,0,0,1
134,2000001672864737,70,5,5,0,0,0,1
135,2000001676435137,53,6,6,70,40,19,1
136,2000001676577826,80,10,9,34,29,10,1
137,2000001677348415,69,0,0,9,6,11,1
138,2000001678065851,62,4,3,26,17,9,1
139,2000001679191233,86,8,6,43,34,1,1
140,2000001680309012,62,5,5,30,22,20,1
141,2000001685347866,42,1,0,4,1,0,1
142,2000001685761034,81,4,3,16,10,2,1
143,2000001687573270,70,2,2,19,14,4,1
144,2000001687845216,60,1,1,19,12,0,1
147,2000001689584404,71,7,7,29,38,4,1
148,2000001691503777,47,2,2,18,14,1,1
149,2000001695826518,27,3,2,0,17,8,1
152,2000001699890726,81,4,4,0,0,15,1
153,2000001700354210,61,2,2,25,23,10,1
154,2000001701126042,80,3,3,29,21,3,1
155,2000001704222615,83,3,2,21,13,4,1
156,2000001705710396,53,6,4,34,39,15,1
157,2000001705758968,73,2,2,25,18,7,1
158,2000001706570088,86,2,2,17,12,6,1
159,2000001708205362,78,11,11,38,44,9,1
160,2000001711036324,63,0,0,0,0,0,1
161,2000001713604608,64,4,4,25,21,14,1
162,2000001718468324,50,1,0,34,23,0,1
163,2000001720736394,57,4,3,17,15,3,1
164,2000001721411223,103,1,0,0,0,0,1
165,2000001724184135,72,3,2,18,19,5,1
166,2000001724425825,54,10,9,119,60,12,1
167,2000001729685621,79,9,9,51,55,13,1
168,2000001732330010,89,3,4,34,24,4,1
169,2000001745651183,50,3,5,75,49,17,1
170,2000001746519453,60,7,6,46,36,5,1
171,2000001751915913,64,4,3,52,35,9,1
172,2000001751917020,60,5,5,41,29,10,1
173,2000001752027548,64,5,5,25,21,3,1
174,2000001763197038,20,0,0,8,8,0,1
175,2000001770395284,55,3,3,35,22,5,1
176,2000001779795221,72,1,1,8,8,0,1
177,2000001784500557,53,3,2,17,26,2,1
178,2000001784708804,59,3,4,25,21,6,1
179,2000001785007403,102,1,0,0,0,0,1
180,2000001785013999,54,1,2,17,16,3,1
181,2000001801700787,93,7,4,27,11,19,1
182,2000001824295237,75,3,3,17,15,2,1
183,2000001826800872,86,7,8,36,28,6,1
184,2000001832899309,89,6,4,40,27,9,1
186,2000001857800499,64,0,0,0,0,0,1
187,2000001865898137,74,3,3,25,22,6,1
188,2000001871598119,42,0,0,0,0,0,1
190,2000001886914107,100,3,3,25,18,6,1
191,2000001887115018,37,5,5,59,59,12,1
192,2000001887117676,60,2,2,41,29,6,1
193,2000001889895384,78,2,1,0,11,2,1
194,2000001892595381,81,10,10,39,32,15,1
195,2000001893299134,56,2,2,16,15,7,1
197,2000001902195465,73,4,3,35,22,3,1
198,2000001902199494,63,0,0,0,0,0,1
199,2000001904999805,41,6,8,58,53,30,1
201,2000001916795266,59,4,4,25,20,2,1
206,2000001940695417,71,2,2,23,12,2,1
209,2000001948995481,67,3,3,25,18,12,1
210,2000001956698135,85,0,0,0,0,0,1
212,2000001969003155,52,3,3,81,31,4,1
214,2000001973405898,83,11,11,39,32,25,1
219,2000001986796050,68,1,1,96,34,11,1
220,2000001988004848,50,1,1,46,33,8,1
222,2000001998296561,46,3,2,25,19,5,1
223,2000001998855730,60,3,2,22,14,5,1
224,2000001998869027,59,2,2,32,14,5,1
226,2000002001401157,68,4,4,31,21,8,1
228,2000002004573782,57,0,0,0,0,0,1
230,2000002054850189,63,4,5,40,28,8,1
231,2000002064325158,62,1,1,0,0,0,1
232,2000002067003195,80,8,8,43,28,9,1
233,2000002155610482,75,6,8,95,68,27,1
234,2000002155612110,70,0,0,0,0,0,1
236,2000002157430397,63,4,5,34,25,1,1
237,2000002177798792,75,2,2,52,34,0,1
239,2000002181596431,35,7,7,39,33,15,1
240,2000002181705077,72,6,5,59,36,9,1
242,2000002186403369,88,7,5,6,22,13,1
243,2000002192119944,51,2,1,0,1,0,1
246,2000002194312178,61,4,4,0,0,0,1
247,2000002194334792,47,6,6,21,28,3,1
248,2000002194800261,75,4,4,50,9,3,1
249,2000002194899442,62,2,3,17,14,4,1
250,2000002198099991,29,8,6,12,24,21,1
252,2000002199627058,71,8,6,32,34,20,1
253,2000002199631184,80,0,0,0,0,0,1
254,2000002203715778,78,9,9,84,48,32,1
256,2000002206884430,79,1,1,20,14,3,1
257,2000002206924741,60,4,3,56,39,10,1
258,2000002206976083,73,0,2,17,14,4,1
259,2000002210504313,63,10,11,25,22,14,1
260,2000002215495550,64,2,2,31,20,2,1
261,2000002217897583,44,0,0,0,0,0,1
263,2000002219595939,54,0,0,0,0,0,1
264,2000002225347525,67,5,4,35,20,3,1
265,2000002225441797,63,3,4,38,29,2,1
266,2000002231820729,0,4,4,25,21,6,1
267,2000002231824594,60,2,2,41,25,1,1
268,2000002234128796,71,3,5,22,16,5,1
269,2000002235299201,64,2,2,32,20,3,1
270,2000002241397754,59,4,3,10,9,0,1
271,2000002241420609,53,1,2,34,22,6,1
272,2000002252008809,56,0,0,0,0,0,1
273,2000002253324438,96,4,4,0,0,27,1
274,2000002253372957,47,5,5,50,51,29,1
276,2000002253475400,26,2,1,19,12,0,1
279,2000002260107171,78,6,6,31,20,7,1
280,2000002261213835,53,2,2,29,24,0,1
281,2000002262545931,59,2,2,17,14,1,1
282,2000002262636408,94,3,3,34,29,8,1
285,2000002271824138,41,1,1,10,17,1,1
286,2000002271826616,77,10,6,52,35,3,1
287,2000002272953322,59,3,3,22,17,4,1
288,2000002273235022,59,3,3,85,29,3,1
289,2000002276296889,73,3,3,37,25,0,1
290,2000002276800404,54,4,4,25,21,14,1
291,2000002279048351,71,0,0,0,0,0,1
293,2000002282257875,49,4,4,34,24,10,1
294,2000002282313589,89,0,0,36,16,0,1
295,2000002282499813,79,5,5,34,28,1,1
296,2000002282546695,84,6,6,34,27,12,1
298,2000002284523972,49,6,4,0,23,7,1
299,2000002286205571,71,2,2,36,21,4,1
300,2000002288401182,49,5,5,25,22,13,1
302,2000002288501531,4,0,0,0,0,0,1
303,2000002291107362,101,11,10,38,28,27,1
304,2000002291126092,55,8,9,77,68,23,1
306,2000002293735792,59,0,0,0,0,0,1
308,2000002297318877,67,4,5,51,33,19,1
309,2000002299097136,52,4,4,58,35,11,1
310,2000002300212070,67,5,5,34,29,12,1
311,2000002302528340,79,3,4,42,36,0,1
312,2000002304016796,69,4,3,34,21,1,1
314,2000002306089336,74,4,4,34,40,12,1
316,2000002310713315,73,4,4,33,21,4,1
318,2000002314690449,65,5,4,54,30,12,1
322,2000002323899499,56,4,4,26,22,4,1
323,2000002326223571,67,0,0,0,0,0,1
324,2000002338298442,41,2,2,17,13,2,1
327,2000002343908478,69,7,4,44,30,5,1
328,2000002344013774,92,2,2,0,10,18,1
329,2000002345754153,70,0,4,25,21,1,1
330,2000002346684985,105,0,0,0,0,0,1
332,2000002351076061,0,2,0,21,9,6,1
333,2000002352752192,68,1,1,17,7,2,1
335,2000002352914445,0,7,6,0,0,6,1
336,2000002352917298,6,3,3,19,16,3,1
337,2000002352920033,78,3,3,38,24,13,1
339,2000002352922835,77,3,3,50,38,6,1
340,2000002352924824,51,3,3,34,30,8,1
341,2000002352925035,49,3,3,65,30,14,1
342,2000002352925224,83,3,4,34,25,7,1
343,2000002352925772,59,3,3,40,22,0,1
344,2000002353010651,71,3,2,33,25,6,1
346,2000002353014485,86,2,2,25,18,6,1
347,2000002353015165,83,1,1,9,6,2,1
348,2000002353017075,87,4,4,43,30,7,1
350,2000002353017488,92,3,3,0,0,9,1
351,2000002353017567,65,3,3,39,22,13,1
354,2000002353020016,70,3,3,50,37,20,1
355,2000002353020220,79,2,2,35,26,9,1
357,2000002353137930,77,2,2,33,19,0,1
359,2000002353260717,75,0,0,0,0,0,1
360,2000002355497934,70,3,5,43,39,0,1
363,2000002355799886,55,2,2,25,18,7,1
364,2000002355801276,77,2,2,25,21,8,1
365,2000002355802168,52,1,0,20,6,0,1
366,2000002355802325,73,5,4,43,31,6,1
367,2000002355804529,0,2,2,33,26,7,1
368,2000002355805713,69,0,0,0,0,0,1
369,2000002355808488,75,5,5,25,16,3,1
370,2000002355808987,79,6,5,34,24,9,1
371,2000002355813677,52,2,2,9,15,5,1
372,2000002355817662,66,4,4,33,28,8,1
373,2000002355821937,79,3,3,25,18,4,1
374,2000002355824925,62,3,3,26,21,9,1
375,2000002355831299,90,2,2,35,17,0,1
376,2000002355833965,77,7,7,26,39,16,1
377,2000002355834086,55,8,6,35,24,4,1
378,2000002355834474,58,2,1,17,13,6,1
379,2000002355834497,77,4,4,54,37,9,1
380,2000002355834647,47,5,5,43,31,12,1
381,2000002355834711,77,4,3,33,21,9,1
383,2000002355834810,59,1,1,16,15,0,1
384,2000002355835012,80,3,3,25,25,6,1
385,2000002355835642,41,7,6,19,48,4,1
386,2000002355835842,66,3,2,17,12,4,1
387,2000002355836107,98,3,3,0,0,7,1
388,2000002355836181,72,4,4,20,13,5,1
389,2000002355836358,100,5,5,0,0,14,1
390,2000002355837637,66,2,2,25,22,5,1
391,2000002355837684,72,6,5,42,29,2,1
392,2000002355838214,101,4,2,9,5,11,1
394,2000002355840983,83,9,8,43,32,8,1
397,2000002355844271,54,3,3,58,34,6,1
398,2000002355845044,57,3,3,71,37,14,1
399,2000002355845151,70,4,3,45,23,0,1
400,2000002355845349,86,3,3,0,12,5,1
401,2000002355846794,65,5,5,50,26,14,1
402,2000002355847489,70,2,2,17,12,7,1
403,2000002355895285,80,8,7,25,19,8,1
404,2000002355900228,63,4,3,27,24,8,1
405,2000002355901615,78,4,3,34,23,6,1
406,2000002355901686,77,9,8,25,42,31,1
407,2000002355910106,79,4,4,34,31,9,1
408,2000002355911923,66,4,4,36,28,9,1
411,2000002355923996,49,1,1,42,21,1,1
412,2000002355926046,48,3,3,25,20,2,1
413,2000002355930382,47,2,2,110,36,9,1
414,2000002355930587,69,3,2,71,44,9,1
415,2000002355931972,86,1,1,31,21,4,1
416,2000002355932364,85,2,2,29,13,0,1
417,2000002355934089,83,2,2,25,18,2,1
418,2000002355934187,64,3,3,17,14,0,1
419,2000002355934205,68,2,2,17,15,5,1
420,2000002355934437,53,7,7,43,45,18,1
421,2000002355934568,47,5,5,25,38,21,1
422,2000002355934650,80,3,3,25,30,6,1
423,2000002355934686,91,0,0,0,0,0,1
424,2000002355934947,68,5,5,34,24,5,1
426,2000002355935189,72,2,2,25,18,3,1
429,2000002355937881,68,2,2,25,21,4,1
430,2000002355939263,80,2,2,33,21,6,1
431,2000002355944977,63,0,0,41,21,1,1
434,2000002356735917,79,4,4,25,18,5,1
435,2000002356742386,50,0,0,0,0,0,1
436,2000002357271494,71,9,8,34,30,7,1
437,2000002357358054,51,5,5,54,73,30,1
438,2000002357392926,80,5,5,39,29,3,1
439,2000002358596096,57,5,5,42,35,10,1
440,2000002358600926,64,3,3,84,36,15,1
441,2000002358608507,54,4,3,36,30,7,1
442,2000002358613409,94,4,4,33,28,12,1
444,2000002358614419,104,1,1,0,0,8,1
445,2000002358626075,68,2,2,31,21,4,1
446,2000002358629702,51,7,6,51,25,3,1
447,2000002358629995,63,3,3,88,30,7,1
448,2000002358630276,44,8,8,36,46,23,1
449,2000002358630505,63,6,6,93,56,7,1
451,2000002358632651,31,2,2,0,6,7,1
453,2000002358634627,51,3,2,32,15,6,1
454,2000002358696304,69,3,3,25,18,2,1
455,2000002358699133,60,3,3,34,29,29,1
456,2000002358797100,75,2,2,52,24,10,1
457,2000002358798091,80,5,5,107,32,9,1
458,2000002358800114,43,4,4,66,35,8,1
460,2000002358808882,83,5,5,43,35,4,1
461,2000002358810718,49,1,0,18,8,0,1
462,2000002358822638,92,3,3,25,21,10,1
463,2000002358826732,59,2,2,31,18,6,1
464,2000002358827023,60,2,2,35,23,8,1
465,2000002358827580,48,0,0,0,0,0,1
466,2000002358830039,84,4,4,34,28,5,1
467,2000002358830219,78,4,4,38,24,8,1
468,2000002358830692,55,1,1,9,7,1,1
470,2000002358832084,90,4,4,48,37,11,1
472,2000002358835454,62,2,2,29,32,4,1
473,2000002358835922,76,6,6,33,29,10,1
474,2000002358836601,70,6,6,90,50,8,1
475,2000002359095513,88,5,5,0,24,5,1
478,2000002359542342,79,3,3,47,24,0,1
479,2000002359628882,68,5,3,18,20,1,1
480,2000002359772567,73,4,4,41,29,6,1
481,2000002360029509,62,2,2,96,71,3,1
482,2000002360089995,61,0,1,18,13,2,1
483,2000002360522368,81,2,2,28,30,6,1
484,2000002361195242,89,4,4,50,40,2,1
485,2000002361196393,89,5,5,36,24,10,1
487,2000002361196917,6,4,4,35,29,10,1
488,2000002361197000,76,2,2,25,18,6,1
489,2000002361197205,61,4,4,68,50,6,1
490,2000002361295930,88,3,2,61,30,1,1
491,2000002361911441,73,2,2,17,12,2,1
493,2000002362006530,79,2,2,25,21,5,1
494,2000002362016486,0,5,5,125,55,7,1
496,2000002362022336,46,0,0,8,7,0,1
498,2000002362024269,50,9,7,25,24,3,1
501,2000002362027145,61,0,0,25,21,3,1
504,2000002362027825,77,4,3,42,29,15,1
506,2000002362028103,53,2,2,71,34,9,1
507,2000002362029298,85,3,3,0,20,3,1
509,2000002362030596,69,3,3,43,26,2,1
510,2000002362031277,55,7,6,59,46,6,1
511,2000002362031589,63,2,2,42,24,0,1
512,2000002362096212,70,6,4,25,16,6,1
515,2000002362199802,42,2,2,41,29,5,1
516,2000002362203917,50,8,8,57,47,9,1
517,2000002362206653,48,3,3,21,12,0,1
518,2000002362208394,63,3,3,17,12,4,1
520,2000002362210269,72,0,0,0,0,0,1
521,2000002362212634,44,7,7,244,40,19,1
523,2000002362220566,63,4,4,63,42,9,1
524,2000002362222043,71,4,4,35,26,0,1
526,2000002362223830,56,5,5,41,41,12,1
527,2000002362223889,71,3,3,37,20,8,1
528,2000002362224163,32,6,5,9,23,7,1
530,2000002362224682,80,2,2,52,33,14,1
531,2000002362224850,62,3,3,62,56,9,1
532,2000002362226760,44,4,2,23,12,6,1
536,2000002362229502,91,8,6,25,18,14,1
539,2000002362231900,55,2,2,25,18,8,1
541,2000002362973250,91,2,2,0,0,9,1
542,2000002362973753,58,3,3,29,18,6,1
543,2000002363444670,66,4,3,38,27,5,1
544,2000002363447351,46,2,2,19,14,10,1
545,2000002363496686,73,3,3,69,37,1,1
547,2000002363499277,52,11,10,48,54,11,1
549,2000002363503596,53,5,3,34,25,9,1
550,2000002363507446,49,4,4,82,36,14,1
551,2000002363517502,41,3,3,91,32,3,1
552,2000002363518927,65,2,1,25,15,2,1
553,2000002363529899,77,2,2,26,13,2,1
554,2000002363531478,79,2,2,22,24,0,1
555,2000002363535280,82,2,2,25,18,16,1
556,2000002363535471,45,4,4,108,67,7,1
558,2000002363536276,40,5,4,23,31,3,1
559,2000002363537929,68,4,3,25,20,7,1
560,2000002363538669,71,3,3,80,62,23,1
562,2000002363543172,76,0,0,186,66,7,1
564,2000002363544436,60,4,4,53,33,7,1
565,2000002363544886,61,1,1,19,15,0,1
568,2000002363546084,74,6,6,34,24,6,1
569,2000002363547597,70,2,1,17,10,0,1
570,2000002363548416,77,3,3,34,29,1,1
573,2000002363600327,56,6,6,47,26,5,1
574,2000002363600581,68,2,2,23,13,0,1
575,2000002363601040,95,3,3,32,23,0,1
576,2000002363601050,69,2,2,44,25,4,1
578,2000002363601715,74,2,2,34,23,5,1
579,2000002363602182,73,3,3,25,19,8,1
581,2000002363602688,78,4,4,17,12,2,1
583,2000002363603571,58,3,2,43,26,0,1
584,2000002363608022,105,3,3,0,0,7,1
588,2000002363625846,73,3,3,38,24,3,1
589,2000002363626905,53,6,6,25,18,6,1
590,2000002363627365,109,4,4,0,0,4,1
591,2000002363632678,44,3,3,0,1,0,1
592,2000002363636169,49,3,3,34,28,7,1
593,2000002363636191,80,2,2,80,50,9,1
594,2000002363636236,66,0,0,19,8,0,1
595,2000002363637970,78,2,2,26,24,3,1
596,2000002363638669,69,3,2,25,19,7,1
598,2000002363643140,46,6,3,34,27,11,1
599,2000002364145250,81,6,6,34,28,13,1
600,2000002364336237,63,0,0,0,0,0,1
601,2000002364398944,87,3,3,25,21,0,1
602,2000002364474713,62,4,4,67,38,5,1
603,2000002365066048,81,3,3,43,30,12,1
605,2000002365166874,88,0,0,0,0,0,1
607,2000002365308780,59,4,5,38,28,1,1
608,2000002365316133,45,2,1,59,21,4,1
609,2000002365392571,92,2,2,0,26,8,1
610,2000002365895993,84,4,4,39,34,22,1
611,2000002365896884,65,2,2,24,21,0,1
612,2000002365896887,69,4,4,34,29,1,1
613,2000002365897875,53,1,0,9,9,0,1
614,2000002365903115,62,2,2,46,33,0,1
615,2000002365996090,70,8,2,18,15,0,1
617,2000002366002010,54,4,4,66,32,2,1
618,2000002366003022,71,2,2,17,14,5,1
619,2000002366003230,73,2,2,22,14,0,1
622,2000002366405009,6,0,0,0,0,0,1
623,2000002366418346,70,5,4,34,29,3,1
624,2000002366418842,80,1,2,17,15,6,1
626,2000002366419383,35,16,16,109,49,16,1
627,2000002366421117,77,8,8,34,26,13,1
628,2000002366422174,68,0,0,0,0,0,1
630,2000002366422513,43,6,5,53,24,10,1
631,2000002366427631,63,2,2,56,32,2,1
635,2000002366435781,80,2,1,25,18,3,1
636,2000002366436151,90,8,8,44,26,2,1
637,2000002366442665,68,2,2,45,53,10,1
639,2000002366448187,71,3,3,85,54,10,1
640,2000002366449742,48,5,4,67,35,6,1
642,2000002366454779,58,3,3,58,20,2,1
643,2000002366455139,55,3,3,42,26,6,1
647,2000002366462520,67,3,3,84,60,1,1
649,2000002366464073,67,10,10,34,36,5,1
650,2000002366464612,27,4,2,17,17,6,1
651,2000002366471502,86,6,4,43,28,5,1
652,2000002366471783,80,6,5,44,30,12,1
653,2000002366479107,66,3,3,31,22,11,1
654,2000002366479212,66,3,2,28,15,4,1
655,2000002366486262,67,4,4,44,24,9,1
656,2000002366487864,60,1,1,26,27,0,1
657,2000002366493036,65,2,2,25,19,0,1
658,2000002366493279,103,6,6,0,18,5,1
659,2000002366493531,54,5,5,35,32,2,1
661,2000002366498189,71,5,5,66,35,8,1
665,2000002366508109,53,3,3,25,16,4,1
666,2000002366514293,82,6,5,34,24,8,1
667,2000002366516015,0,2,2,17,12,2,1
669,2000002366520103,71,4,2,17,11,0,1
670,2000002366522366,56,6,4,38,28,7,1
671,2000002366522378,68,8,6,57,36,8,1
672,2000002366522489,83,3,3,44,36,15,1
675,2000002366556129,57,3,3,145,29,0,1
677,2000002366570203,77,8,6,54,33,8,1
678,2000002366574105,54,3,3,59,29,15,1
679,2000002366575379,48,2,2,26,18,5,1
680,2000002366576330,51,4,4,13,20,0,1
681,2000002366593022,67,2,2,47,35,7,1
682,2000002366595170,55,5,2,46,31,7,1
683,2000002366643725,60,0,0,63,28,2,1
684,2000002366677250,34,6,1,32,24,1,1
685,2000002366769168,97,3,2,19,13,5,1
686,2000002366774682,58,4,4,38,28,4,1
688,2000002366898843,63,2,2,17,12,5,1
689,2000002367291583,34,9,3,46,26,2,1
690,2000002367319536,102,2,2,29,19,7,1
694,2000002367918255,104,5,5,38,25,18,1
696,2000002368295950,70,1,1,17,11,4,1
697,2000002368319175,61,2,2,61,28,7,1
698,2000002368355507,69,4,4,34,24,14,1
699,2000002368395930,89,4,3,0,16,11,1
701,2000002368595679,47,5,4,0,9,7,1
702,2000002368597794,39,2,2,44,25,7,1
703,2000002368598130,67,4,4,35,27,21,1
704,2000002368598522,77,3,3,39,29,0,1
705,2000002368600414,78,6,6,27,24,9,1
707,2000002368602894,78,3,3,25,22,8,1
708,2000002368603867,70,3,3,62,29,13,1
710,2000002368604707,106,9,9,44,41,6,1
711,2000002368606060,85,2,2,25,20,6,1
712,2000002368606254,47,6,5,17,42,6,1
713,2000002368608762,73,3,3,32,25,5,1
716,2000002368696401,51,5,5,43,20,15,1
717,2000002368699468,78,2,2,17,12,2,1
719,2000002368701169,60,0,0,0,0,0,1
720,2000002368703894,44,5,5,60,58,10,1
721,2000002368704426,57,6,6,46,27,7,1
722,2000002368704586,80,7,6,63,44,8,1
724,2000002368706002,59,2,2,17,14,0,1
725,2000002368706536,43,4,4,88,23,10,1
726,2000002368708184,73,4,4,34,24,2,1
727,2000002368708553,80,5,5,34,28,1,1
729,2000002368710067,56,1,1,18,13,1,1
730,2000002368710100,53,7,7,25,20,12,1
732,2000002370500005,47,14,10,70,70,10,1
733,2000002370596616,64,4,4,36,29,4,1
734,2000002370597859,62,4,4,38,24,9,1
736,2000002371497728,71,0,0,0,0,0,1
737,2000002371498916,51,3,3,26,24,1,1
738,2000002371506296,58,3,3,25,21,0,1
739,2000002371506311,42,2,2,65,39,6,1
740,2000002371507306,67,3,3,43,33,7,1
741,2000002371510285,60,8,8,48,30,0,1
742,2000002371511960,73,5,2,25,25,10,1
743,2000002371518212,77,3,2,9,7,0,1
744,2000002371518704,56,10,10,34,32,15,1
746,2000002371522216,92,1,1,8,6,1,1
747,2000002371523931,67,2,2,25,20,2,1
749,2000002371524792,61,2,2,30,24,11,1
751,2000002371529441,80,3,3,37,23,5,1
752,2000002371530682,66,4,4,42,31,6,1
753,2000002371598184,46,3,3,59,49,3,1
755,2000002371600355,48,5,5,58,31,5,1
756,2000002371600721,65,3,3,60,35,3,1
757,2000002371610585,54,2,2,22,15,2,1
759,2000002371613396,76,2,2,25,19,7,1
760,2000002371614454,67,7,6,45,30,5,1
761,2000002371615687,49,3,3,25,18,7,1
762,2000002371617439,59,8,8,45,20,12,1
763,2000002371618861,67,2,2,25,22,0,1
764,2000002371619398,87,9,8,42,31,4,1
765,2000002371619613,32,2,1,9,8,0,1
766,2000002371620233,45,7,6,18,48,4,1
768,2000002371621615,80,6,4,70,47,4,1
769,2000002371621700,77,2,2,17,14,3,1
771,2000002371622043,84,4,4,0,12,2,1
773,2000002371623282,60,7,6,25,21,2,1
774,2000002371623687,74,6,6,45,34,5,1
776,2000002371626971,47,2,1,29,16,1,1
777,2000002371627888,90,0,0,18,9,5,1
778,2000002371629642,101,8,8,52,28,17,1
779,2000002371856315,90,4,4,9,7,2,1
780,2000002372447017,90,8,6,0,0,4,1
782,2000002372516539,42,4,1,17,31,19,1
783,2000002373897570,75,3,3,151,51,10,1
784,2000002374096003,77,4,3,17,13,5,1
785,2000002374195258,6,10,8,84,98,19,1
786,2000002374695877,84,6,4,25,16,2,1
787,2000002374700458,75,4,4,27,27,1,1
788,2000002374704270,82,0,0,0,0,0,1
789,2000002374995696,56,4,4,34,28,0,1
790,2000002375001476,31,6,5,44,34,7,1
792,2000002375195259,54,6,4,47,31,1,1
793,2000002375196189,81,1,0,0,0,0,1
795,2000002376997515,69,5,4,25,18,5,1
798,2000002377018597,79,1,1,26,13,0,1
799,2000002377021537,77,1,0,0,0,0,1
800,2000002377024313,65,5,5,51,36,8,1
801,2000002377025010,77,2,2,48,24,4,1
802,2000002377027680,52,2,2,25,19,14,1
804,2000002377099838,100,2,2,0,0,1,1
805,2000002377105194,62,0,0,34,19,1,1
807,2000002377115606,82,4,5,0,22,20,1
808,2000002377115676,77,3,3,34,28,0,1
809,2000002377116274,62,5,5,34,28,1,1
810,2000002377118997,70,5,4,29,18,6,1
812,2000002377122613,83,2,2,17,14,0,1
813,2000002377122821,54,3,2,34,23,2,1
815,2000002377123745,49,0,0,0,0,0,1
816,2000002377124424,71,1,0,0,0,0,1
817,2000002377125666,113,3,3,25,19,7,1
818,2000002377127904,58,5,5,90,69,7,1
819,2000002377128472,81,4,4,51,30,9,1
821,2000002378206187,64,3,2,17,12,5,1
822,2000002378208644,67,2,3,26,17,11,1
823,2000002378236457,64,4,4,81,32,12,1
825,2000002378284703,78,3,3,34,19,5,1
826,2000002378332693,85,3,3,31,19,7,1
827,2000002378696641,64,1,1,17,16,2,1
